Actual,Predicted,Probability_Destroyed
1,1,0.625
1,0,0.20166666666666663
0,1,0.6914843767343767
0,1,0.551595238095238
1,0,0.3739256854256854
1,0,0.4843787878787878
0,0,0.31915656565656564
0,0,0.31915656565656564
0,0,0.31915656565656564
1,0,0.456
0,1,0.5506666666666666
0,1,0.6838888888888889
0,1,0.6535677100677099
0,1,0.6535677100677099
1,0,0.29230219780219785
1,0,0.45799999999999996
1,0,0.45799999999999996
1,0,0.45799999999999996
0,1,0.5811309523809524
1,0,0.45799999999999996
1,1,0.6535677100677099
1,1,0.711
1,1,0.96
0,1,0.6535677100677099
0,1,0.6535677100677099
0,1,0.6336629481629481
0,1,0.5715631313131313
1,1,0.7891666666666667
0,1,0.7891666666666667
1,1,0.6292857142857143
0,1,0.5589999999999999
0,1,0.5589999999999999
0,1,0.5942142857142857
0,1,0.5942142857142857
1,1,0.5942142857142857
0,0,0.32871428571428574
0,0,0.21216666666666661
0,0,0.455
1,0,0.24566666666666662
1,0,0.23958889940468883
0,0,0.24566666666666662
0,0,0.38402380952380955
0,0,0.3865238095238095
1,1,0.5866666666666667
1,1,0.5535
1,1,0.619
1,1,0.6784486624486622
1,1,0.7953333333333333
1,1,0.6845439005439004
1,1,0.6784486624486622
1,1,0.6784486624486622
1,1,0.556547619047619
1,1,0.6859999999999999
1,1,0.84
1,0,0.43333333333333335
0,0,0.23958889940468883
0,0,0.3612590187590187
0,0,0.23958889940468883
1,1,0.6202872566030461
0,1,0.5102872566030462
0,0,0.23958889940468883
1,0,0.23958889940468883
0,0,0.23958889940468883
0,0,0.44
0,0,0.44
0,0,0.23958889940468883
0,0,0.47
1,1,0.5357202797202797
1,1,0.5357202797202797
1,1,0.5357202797202797
1,0,0.41333333333333333
1,0,0.43333333333333335
1,0,0.23958889940468883
1,1,0.6784486624486622
1,1,0.68
0,0,0.42721428571428566
0,0,0.23958889940468883
0,0,0.42721428571428566
1,0,0.43315656565656563
0,0,0.43315656565656563
1,0,0.3073470418470418
0,0,0.3073470418470418
1,0,0.44
1,0,0.3393787878787879
0,0,0.3073470418470418
0,0,0.3393787878787879
0,0,0.3073470418470418
1,1,0.69125
0,1,0.7087264402264399
0,1,0.5278571428571427
1,0,0.418
0,0,0.418
1,1,0.5244642857142857
1,0,0.418
0,1,0.5244642857142857
1,0,0.409
1,1,0.8590000000000001
0,1,0.7087264402264399
0,1,0.5592218614718614
0,1,0.5592218614718614
0,1,0.5592218614718614
1,1,0.7087264402264399
1,1,0.7087264402264399
1,1,0.7087264402264399
1,1,0.6644883449883449
0,1,0.5592218614718614
0,1,0.7087264402264399
0,1,0.77
0,0,0.34299999999999997
0,0,0.34299999999999997
0,0,0.34299999999999997
0,0,0.34299999999999997
0,0,0.34299999999999997
0,0,0.34299999999999997
0,0,0.34299999999999997
0,0,0.34299999999999997
0,0,0.34299999999999997
0,0,0.34299999999999997
0,0,0.34299999999999997
0,0,0.33899999999999997
0,0,0.33899999999999997
0,0,0.22502380952380943
1,1,0.59
1,0,0.43333333333333335
1,0,0.3236904761904762
1,1,0.63
1,1,0.648
1,0,0.4875384615384615
1,0,0.1904666050323945
0,0,0.4875384615384615
0,0,0.4875384615384615
0,0,0.4875384615384615
0,0,0.1904666050323945
0,0,0.1904666050323945
1,0,0.1904666050323945
0,0,0.4875384615384615
1,0,0.4875384615384615
1,0,0.1904666050323945
1,0,0.4875384615384615
1,0,0.4875384615384615
0,0,0.21979993836572775
0,0,0.4875384615384615
0,0,0.1904666050323945
1,0,0.1904666050323945
0,0,0.1904666050323945
1,1,0.7
1,1,0.7
1,1,0.7
1,1,0.7
1,1,0.7
1,1,0.7
1,1,0.7
1,0,0.4875384615384615
1,1,0.5592218614718614
1,1,0.7
1,0,0.1904666050323945
0,1,0.7087264402264399
1,0,0.418
0,0,0.418
1,0,0.4875384615384615
1,0,0.4875384615384615
